Post ID,Platform,User ID,Post Content,Post Date,Likes,Comments,Shares
1,Facebook,4288,Content of post #1 on Facebook,2023-01-01,4734,32,39
2,Twitter,1857,Content of post #2 on Twitter,2024-12-11,3377,55,451
3,Twitter,2953,Content of post #3 on Twitter,2024-09-02,494,6,135
4,LinkedIn,4869,Content of post #4 on LinkedIn,2023-01-25,1105,180,94
5,Facebook,607,Content of post #5 on Facebook,2024-05-06,4428,97,225
6,TikTok,2715,Content of post #6 on TikTok,2025-02-06,2440,9,80
7,Twitter,719,Content of post #7 on Twitter,2024-07-23,1212,162,221
8,LinkedIn,2092,Content of post #8 on LinkedIn,2024-03-14,3470,170,263
9,Instagram,4898,Content of post #9 on Instagram,2023-06-10,1596,49,380
10,LinkedIn,1571,Content of post #10 on LinkedIn,2023-11-11,1469,6,393
11,Twitter,3395,Content of post #11 on Twitter,2024-08-02,3192,195,450
12,Instagram,2639,Content of post #12 on Instagram,2023-06-17,751,89,221
13,Twitter,3013,Content of post #13 on Twitter,2024-06-07,2042,191,379
14,LinkedIn,2434,Content of post #14 on LinkedIn,2024-02-04,2710,9,463
15,Facebook,3268,Content of post #15 on Facebook,2024-04-20,349,193,440
16,Instagram,4698,Content of post #16 on Instagram,2023-04-09,3910,174,166
17,Facebook,660,Content of post #17 on Facebook,2023-07-02,1173,153,23
18,TikTok,1220,Content of post #18 on TikTok,2023-01-27,1715,7,183
19,Instagram,176,Content of post #19 on Instagram,2023-11-05,1422,131,378
20,TikTok,422,Content of post #20 on TikTok,2023-10-14,4846,16,410
21,Twitter,2591,Content of post #21 on Twitter,2023-01-16,1181,185,328
22,Instagram,464,Content of post #22 on Instagram,2024-02-15,2165,137,242
23,Twitter,4172,Content of post #23 on Twitter,2023-08-28,428,184,244
24,Twitter,1979,Content of post #24 on Twitter,2024-07-01,1485,98,115
25,Twitter,729,Content of post #25 on Twitter,2024-11-08,1480,126,82
26,Twitter,2785,Content of post #26 on Twitter,2024-05-29,2916,96,104
27,Instagram,281,Content of post #27 on Instagram,2024-06-25,1795,123,372
28,Instagram,572,Content of post #28 on Instagram,2023-12-21,2212,195,283
29,Instagram,57,Content of post #29 on Instagram,2023-02-02,514,34,1
30,TikTok,3280,Content of post #30 on TikTok,2024-02-05,3484,191,90
31,Twitter,3198,Content of post #31 on Twitter,2025-01-19,3757,138,386
32,Instagram,4776,Content of post #32 on Instagram,2024-01-19,4463,14,73
33,Twitter,1168,Content of post #33 on Twitter,2023-11-05,2574,177,169
34,Twitter,729,Content of post #34 on Twitter,2024-08-25,3406,125,338
35,Twitter,4272,Content of post #35 on Twitter,2024-11-01,1967,25,208
36,Twitter,4022,Content of post #36 on Twitter,2024-12-16,491,115,193
37,LinkedIn,4391,Content of post #37 on LinkedIn,2023-08-08,1770,110,153
38,Twitter,4246,Content of post #38 on Twitter,2023-04-19,4583,134,93
39,LinkedIn,612,Content of post #39 on LinkedIn,2024-01-27,973,94,74
40,Instagram,4241,Content of post #40 on Instagram,2023-03-05,3747,68,268
41,LinkedIn,654,Content of post #41 on LinkedIn,2023-04-23,3078,164,298
42,LinkedIn,862,Content of post #42 on LinkedIn,2023-10-16,3515,14,53
43,Twitter,1088,Content of post #43 on Twitter,2023-04-19,3812,104,263
44,TikTok,2250,Content of post #44 on TikTok,2023-05-19,2120,28,231
45,Twitter,1269,Content of post #45 on Twitter,2024-08-19,4935,29,272
46,Instagram,328,Content of post #46 on Instagram,2024-07-19,1792,96,369
47,Facebook,1747,Content of post #47 on Facebook,2024-11-26,2980,174,139
48,Facebook,1655,Content of post #48 on Facebook,2023-10-26,1544,140,363
49,TikTok,3146,Content of post #49 on TikTok,2024-03-17,2795,143,271
50,LinkedIn,994,Content of post #50 on LinkedIn,2025-01-19,4439,106,367
51,Twitter,4373,Content of post #51 on Twitter,2024-05-15,1591,30,491
52,Instagram,2671,Content of post #52 on Instagram,2023-09-26,2754,17,153
53,LinkedIn,3134,Content of post #53 on LinkedIn,2024-09-24,3648,7,29
54,Twitter,2254,Content of post #54 on Twitter,2023-09-28,4316,195,220
55,Facebook,4713,Content of post #55 on Facebook,2023-01-02,1919,105,449
56,TikTok,2220,Content of post #56 on TikTok,2023-04-01,3926,183,39
57,TikTok,154,Content of post #57 on TikTok,2024-11-06,2339,8,468
58,Twitter,88,Content of post #58 on Twitter,2023-08-15,651,171,436
59,LinkedIn,604,Content of post #59 on LinkedIn,2023-03-02,1269,114,394
60,LinkedIn,3426,Content of post #60 on LinkedIn,2023-10-01,2011,32,354
61,LinkedIn,3211,Content of post #61 on LinkedIn,2023-11-04,3415,6,403
62,Instagram,3683,Content of post #62 on Instagram,2023-11-12,3980,190,434
63,Facebook,2864,Content of post #63 on Facebook,2023-12-24,684,35,301
64,Twitter,3817,Content of post #64 on Twitter,2024-02-19,2134,39,83
65,LinkedIn,4355,Content of post #65 on LinkedIn,2023-07-04,71,45,231
66,TikTok,4961,Content of post #66 on TikTok,2024-05-19,4683,179,344
67,Twitter,4744,Content of post #67 on Twitter,2024-12-13,2673,65,128
68,LinkedIn,842,Content of post #68 on LinkedIn,2023-01-30,4322,167,392
69,Twitter,3390,Content of post #69 on Twitter,2024-02-21,4232,52,164
70,TikTok,890,Content of post #70 on TikTok,2024-11-06,3632,189,366
71,LinkedIn,4279,Content of post #71 on LinkedIn,2023-08-20,3758,43,214
72,Facebook,3913,Content of post #72 on Facebook,2024-05-16,1292,176,300
73,Twitter,984,Content of post #73 on Twitter,2024-02-28,3465,193,461
74,Twitter,3874,Content of post #74 on Twitter,2023-10-24,4650,13,53
75,Facebook,708,Content of post #75 on Facebook,2024-05-02,3937,144,55
76,Instagram,909,Content of post #76 on Instagram,2024-12-13,3709,104,150
77,LinkedIn,2857,Content of post #77 on LinkedIn,2024-09-25,2875,36,199
78,Facebook,4910,Content of post #78 on Facebook,2025-01-07,2950,24,152
79,TikTok,1969,Content of post #79 on TikTok,2024-07-15,185,136,389
80,LinkedIn,2152,Content of post #80 on LinkedIn,2023-12-06,2014,82,432
81,TikTok,1048,Content of post #81 on TikTok,2023-01-04,261,153,430
82,TikTok,3810,Content of post #82 on TikTok,2023-12-12,1557,20,387
83,LinkedIn,2765,Content of post #83 on LinkedIn,2023-08-23,1346,11,264
84,Instagram,2495,Content of post #84 on Instagram,2023-06-13,3499,4,267
85,Instagram,1317,Content of post #85 on Instagram,2024-09-21,4973,189,132
86,Twitter,2390,Content of post #86 on Twitter,2023-12-22,1227,37,337
87,Facebook,2993,Content of post #87 on Facebook,2023-09-04,1918,192,303
88,TikTok,4992,Content of post #88 on TikTok,2023-12-01,4957,197,183
89,Facebook,2252,Content of post #89 on Facebook,2023-01-26,4986,142,26
90,Twitter,1526,Content of post #90 on Twitter,2023-05-21,1382,130,328
91,Twitter,136,Content of post #91 on Twitter,2024-06-28,3046,145,401
92,TikTok,2644,Content of post #92 on TikTok,2024-03-03,2111,61,330
93,TikTok,4631,Content of post #93 on TikTok,2023-05-17,1055,55,363
94,Facebook,4779,Content of post #94 on Facebook,2023-05-23,1398,84,146
95,TikTok,4434,Content of post #95 on TikTok,2023-09-20,4621,14,114
96,Instagram,330,Content of post #96 on Instagram,2024-02-06,1226,197,490
97,Instagram,3084,Content of post #97 on Instagram,2023-09-01,4173,47,244
98,LinkedIn,1441,Content of post #98 on LinkedIn,2024-01-03,859,138,492
99,Facebook,4983,Content of post #99 on Facebook,2024-10-03,1210,183,208
100,Instagram,2917,Content of post #100 on Instagram,2023-07-17,3741,116,204
101,TikTok,854,Content of post #101 on TikTok,2024-01-01,4503,180,310
102,Facebook,1496,Content of post #102 on Facebook,2024-08-01,2857,198,421
103,LinkedIn,1676,Content of post #103 on LinkedIn,2024-10-31,2089,198,385
104,Instagram,1165,Content of post #104 on Instagram,2023-09-30,871,200,473
105,Twitter,4977,Content of post #105 on Twitter,2024-10-17,1411,13,168
106,TikTok,2825,Content of post #106 on TikTok,2023-05-02,4310,167,480
107,TikTok,425,Content of post #107 on TikTok,2023-11-04,4507,64,244
108,TikTok,2490,Content of post #108 on TikTok,2023-12-21,4776,128,16
109,Facebook,4660,Content of post #109 on Facebook,2024-09-06,3658,47,139
110,TikTok,730,Content of post #110 on TikTok,2024-08-17,2466,35,141
111,Facebook,674,Content of post #111 on Facebook,2023-12-03,1544,27,342
112,Twitter,4019,Content of post #112 on Twitter,2024-11-01,4621,167,68
113,LinkedIn,1274,Content of post #113 on LinkedIn,2023-01-26,1713,88,405
114,Facebook,657,Content of post #114 on Facebook,2024-02-05,2323,195,72
115,Instagram,4327,Content of post #115 on Instagram,2024-10-31,1970,81,263
116,Facebook,577,Content of post #116 on Facebook,2024-04-07,31,33,189
117,TikTok,4684,Content of post #117 on TikTok,2024-03-24,2777,74,420
118,LinkedIn,1060,Content of post #118 on LinkedIn,2024-04-12,2263,90,139
119,Facebook,2765,Content of post #119 on Facebook,2023-12-14,68,103,158
120,Twitter,243,Content of post #120 on Twitter,2024-06-05,798,71,409
121,TikTok,2789,Content of post #121 on TikTok,2024-03-12,1793,19,229
122,LinkedIn,1120,Content of post #122 on LinkedIn,2024-07-01,3991,79,306
123,Twitter,2615,Content of post #123 on Twitter,2023-06-06,3772,104,160
124,LinkedIn,2411,Content of post #124 on LinkedIn,2024-01-11,2321,82,461
125,Facebook,4856,Content of post #125 on Facebook,2024-04-17,480,1,380
126,Twitter,1149,Content of post #126 on Twitter,2023-01-24,2774,44,304
127,LinkedIn,1680,Content of post #127 on LinkedIn,2024-03-10,3209,63,220
128,Instagram,3570,Content of post #128 on Instagram,2024-08-01,1965,100,331
129,TikTok,1405,Content of post #129 on TikTok,2023-08-04,2570,20,391
130,TikTok,3704,Content of post #130 on TikTok,2023-01-02,1880,28,184
131,Facebook,1917,Content of post #131 on Facebook,2025-01-17,475,32,419
132,Instagram,4583,Content of post #132 on Instagram,2024-08-12,1141,12,480
133,Instagram,3997,Content of post #133 on Instagram,2025-01-23,4778,18,496
134,LinkedIn,3554,Content of post #134 on LinkedIn,2024-07-02,1834,82,283
135,Facebook,3112,Content of post #135 on Facebook,2024-03-02,3016,46,254
136,TikTok,2091,Content of post #136 on TikTok,2023-07-01,930,113,336
137,Twitter,3043,Content of post #137 on Twitter,2024-03-25,1685,0,297
138,Twitter,846,Content of post #138 on Twitter,2023-09-03,1041,178,307
139,Instagram,4508,Content of post #139 on Instagram,2023-10-20,345,129,312
